id,platform,date,followers,posts_count,impressions,reach,engagement_count,engagement_rate,profile_visits,clicks,video_views,watch_time_minutes,new_followers,notes
309,Facebook,2025-11-25,850,2,8500,6800,85,6.5,170,42,2550,0,10,
307,Instagram,2025-11-25,550,2,5500,4400,55,5.5,110,27,1650,0,10,
308,TikTok,2025-11-25,700,2,7000,5600,70,6.0,140,35,2100,0,10,
310,Twitch,2025-11-25,1000,2,10000,8000,100,7.0,200,50,3000,0,10,
306,YouTube,2025-11-25,400,2,4000,3200,40,5.0,80,20,1200,0,10,
304,Facebook,2025-11-24,840,2,8400,6720,84,6.5,168,42,2520,0,10,
302,Instagram,2025-11-24,540,2,5400,4320,54,5.5,108,27,1620,0,10,
303,TikTok,2025-11-24,690,2,6900,5520,69,6.0,138,34,2070,0,10,
305,Twitch,2025-11-24,990,2,9900,7920,99,7.0,198,49,2970,0,10,
301,YouTube,2025-11-24,390,2,3900,3120,39,5.0,78,19,1170,0,10,
299,Facebook,2025-11-23,830,2,8300,6640,83,6.5,166,41,2490,0,10,
297,Instagram,2025-11-23,530,2,5300,4240,53,5.5,106,26,1590,0,10,
298,TikTok,2025-11-23,680,2,6800,5440,68,6.0,136,34,2040,0,10,
300,Twitch,2025-11-23,980,2,9800,7840,98,7.0,196,49,2940,0,10,
296,YouTube,2025-11-23,380,2,3800,3040,38,5.0,76,19,1140,0,10,
294,Facebook,2025-11-22,820,2,8200,6560,82,6.5,164,41,2460,0,10,
292,Instagram,2025-11-22,520,2,5200,4160,52,5.5,104,26,1560,0,10,
293,TikTok,2025-11-22,670,2,6700,5360,67,6.0,134,33,2010,0,10,
295,Twitch,2025-11-22,970,2,9700,7760,97,7.0,194,48,2910,0,10,
291,YouTube,2025-11-22,370,2,3700,2960,37,5.0,74,18,1110,0,10,
289,Facebook,2025-11-21,810,2,8100,6480,81,6.5,162,40,2430,0,10,
287,Instagram,2025-11-21,510,2,5100,4080,51,5.5,102,25,1530,0,10,
288,TikTok,2025-11-21,660,2,6600,5280,66,6.0,132,33,1980,0,10,
290,Twitch,2025-11-21,960,2,9600,7680,96,7.0,192,48,2880,0,10,
286,YouTube,2025-11-21,360,2,3600,2880,36,5.0,72,18,1080,0,10,
284,Facebook,2025-11-20,800,2,8000,6400,80,6.5,160,40,2400,0,10,
282,Instagram,2025-11-20,500,2,5000,4000,50,5.5,100,25,1500,0,10,
283,TikTok,2025-11-20,650,2,6500,5200,65,6.0,130,32,1950,0,10,
285,Twitch,2025-11-20,950,2,9500,7600,95,7.0,190,47,2850,0,10,
281,YouTube,2025-11-20,350,2,3500,2800,35,5.0,70,17,1050,0,10,
279,Facebook,2025-11-19,790,2,7900,6320,79,6.5,158,39,2370,0,10,
277,Instagram,2025-11-19,490,2,4900,3920,49,5.5,98,24,1470,0,10,
278,TikTok,2025-11-19,640,2,6400,5120,64,6.0,128,32,1920,0,10,
280,Twitch,2025-11-19,940,2,9400,7520,94,7.0,188,47,2820,0,10,
276,YouTube,2025-11-19,340,2,3400,2720,34,5.0,68,17,1020,0,10,
274,Facebook,2025-11-18,780,2,7800,6240,78,6.5,156,39,2340,0,10,
272,Instagram,2025-11-18,480,2,4800,3840,48,5.5,96,24,1440,0,10,
273,TikTok,2025-11-18,630,2,6300,5040,63,6.0,126,31,1890,0,10,
275,Twitch,2025-11-18,930,2,9300,7440,93,7.0,186,46,2790,0,10,
271,YouTube,2025-11-18,330,2,3300,2640,33,5.0,66,16,990,0,10,
269,Facebook,2025-11-17,770,2,7700,6160,77,6.5,154,38,2310,0,10,
267,Instagram,2025-11-17,470,2,4700,3760,47,5.5,94,23,1410,0,10,
268,TikTok,2025-11-17,620,2,6200,4960,62,6.0,124,31,1860,0,10,
270,Twitch,2025-11-17,920,2,9200,7360,92,7.0,184,46,2760,0,10,
266,YouTube,2025-11-17,320,2,3200,2560,32,5.0,64,16,960,0,10,
264,Facebook,2025-11-16,760,2,7600,6080,76,6.5,152,38,2280,0,10,
262,Instagram,2025-11-16,460,2,4600,3680,46,5.5,92,23,1380,0,10,
263,TikTok,2025-11-16,610,2,6100,4880,61,6.0,122,30,1830,0,10,
265,Twitch,2025-11-16,910,2,9100,7280,91,7.0,182,45,2730,0,10,
261,YouTube,2025-11-16,310,2,3100,2480,31,5.0,62,15,930,0,10,
259,Facebook,2025-11-15,750,2,7500,6000,75,6.5,150,37,2250,0,10,
257,Instagram,2025-11-15,450,2,4500,3600,45,5.5,90,22,1350,0,10,
258,TikTok,2025-11-15,600,2,6000,4800,60,6.0,120,30,1800,0,10,
260,Twitch,2025-11-15,900,2,9000,7200,90,7.0,180,45,2700,0,10,
256,YouTube,2025-11-15,300,2,3000,2400,30,5.0,60,15,900,0,10,
254,Facebook,2025-11-14,740,2,7400,5920,74,6.5,148,37,2220,0,10,
252,Instagram,2025-11-14,440,2,4400,3520,44,5.5,88,22,1320,0,10,
253,TikTok,2025-11-14,590,2,5900,4720,59,6.0,118,29,1770,0,10,
255,Twitch,2025-11-14,890,2,8900,7120,89,7.0,178,44,2670,0,10,
251,YouTube,2025-11-14,290,2,2900,2320,29,5.0,58,14,870,0,10,
249,Facebook,2025-11-13,730,2,7300,5840,73,6.5,146,36,2190,0,10,
247,Instagram,2025-11-13,430,2,4300,3440,43,5.5,86,21,1290,0,10,
248,TikTok,2025-11-13,580,2,5800,4640,58,6.0,116,29,1740,0,10,
250,Twitch,2025-11-13,880,2,8800,7040,88,7.0,176,44,2640,0,10,
246,YouTube,2025-11-13,280,2,2800,2240,28,5.0,56,14,840,0,10,
244,Facebook,2025-11-12,720,2,7200,5760,72,6.5,144,36,2160,0,10,
242,Instagram,2025-11-12,420,2,4200,3360,42,5.5,84,21,1260,0,10,
243,TikTok,2025-11-12,570,2,5700,4560,57,6.0,114,28,1710,0,10,
245,Twitch,2025-11-12,870,2,8700,6960,87,7.0,174,43,2610,0,10,
241,YouTube,2025-11-12,270,2,2700,2160,27,5.0,54,13,810,0,10,
239,Facebook,2025-11-11,710,1,7100,5680,71,6.5,142,35,2130,0,5,
237,Instagram,2025-11-11,410,1,4100,3280,41,5.5,82,20,1230,0,5,
238,TikTok,2025-11-11,560,1,5600,4480,56,6.0,112,28,1680,0,5,
240,Twitch,2025-11-11,860,1,8600,6880,86,7.0,172,43,2580,0,5,
236,YouTube,2025-11-11,260,1,2600,2080,26,5.0,52,13,780,0,5,
234,Facebook,2025-11-10,700,1,7000,5600,70,6.5,140,35,2100,0,5,
232,Instagram,2025-11-10,400,1,4000,3200,40,5.5,80,20,1200,0,5,
233,TikTok,2025-11-10,550,1,5500,4400,55,6.0,110,27,1650,0,5,
235,Twitch,2025-11-10,850,1,8500,6800,85,7.0,170,42,2550,0,5,
231,YouTube,2025-11-10,250,1,2500,2000,25,5.0,50,12,750,0,5,
229,Facebook,2025-11-09,690,1,6900,5520,69,6.5,138,34,2070,0,5,
227,Instagram,2025-11-09,390,1,3900,3120,39,5.5,78,19,1170,0,5,
228,TikTok,2025-11-09,540,1,5400,4320,54,6.0,108,27,1620,0,5,
230,Twitch,2025-11-09,840,1,8400,6720,84,7.0,168,42,2520,0,5,
226,YouTube,2025-11-09,240,1,2400,1920,24,5.0,48,12,720,0,5,
224,Facebook,2025-11-08,680,1,6800,5440,68,6.5,136,34,2040,0,5,
222,Instagram,2025-11-08,380,1,3800,3040,38,5.5,76,19,1140,0,5,
223,TikTok,2025-11-08,530,1,5300,4240,53,6.0,106,26,1590,0,5,
225,Twitch,2025-11-08,830,1,8300,6640,83,7.0,166,41,2490,0,5,
221,YouTube,2025-11-08,230,1,2300,1840,23,5.0,46,11,690,0,5,
219,Facebook,2025-11-07,670,1,6700,5360,67,6.5,134,33,2010,0,5,
217,Instagram,2025-11-07,370,1,3700,2960,37,5.5,74,18,1110,0,5,
218,TikTok,2025-11-07,520,1,5200,4160,52,6.0,104,26,1560,0,5,
220,Twitch,2025-11-07,820,1,8200,6560,82,7.0,164,41,2460,0,5,
216,YouTube,2025-11-07,220,1,2200,1760,22,5.0,44,11,660,0,5,
